,ix,omental,size_at_met,beta_pt,beta_met,time_to_met,time_to_ca125,time_to_US,met_size_at_ca125,met_size_at_US
0,0,True,1.04536906,0.0006779176223097238,0.0008992947264700903,1892.9279168820415,1262.6836934008588,1762.2522641929127,2.070590286325099e-19,2.608820923418759e-11
1,1,False,1.04536906,0.004872309510179076,0.014739922584421628,254.23047529987048,170.8884975883009,237.1003986141397,7.177215525237212e-40,2.607006738468352e-13
2,2,False,0.388565349,0.000981698563266747,0.008712042337160235,1149.251022128686,848.1439039790595,1176.7629802683377,3.4321412295693124e-169,4.562272933881404e-07
3,3,False,3.87580839,0.0016546271366975596,0.005261209491430115,850.1630041294945,503.2080240394867,698.1793670691383,1.1295691788172784e-74,5.240702985458048e-25
4,4,False,0.0139645166,0.0052880181196210355,0.002717182464538493,156.39367071809002,157.45438709641985,218.46115139970658,1.0861987184975353e-09,8.637312627480066e-08
5,5,False,6.58634689e-07,0.007280496401954655,0.005627537300401239,34.472297967327,114.3633079409464,158.67414297804876,3.2967960649945996e-05,0.0018821760129484554
6,6,True,3.67071643,0.0043242342669116834,0.0035745817828626704,336.45941714974015,197.95308818245692,276.27130981152874,7.314806850607494e-18,8.947081037470641e-13
7,7,False,1.04536906,0.003039723368291939,0.010797304845194273,407.5007533586656,273.91362670200937,380.0433089028295,4.891629252399882e-50,4.9451375679935495e-14
8,8,True,3.99019334,0.00164507532162831,0.0012549633679127118,892.0272167972504,520.3381972275279,726.20496407976,2.8351116481938015e-17,1.1541279777120818e-12
9,9,False,6.58634689e-07,0.007328516222217399,0.01490606356569113,34.24641956271675,113.61394677076463,157.63443676807256,0.45172198282009,31.189601506455983
10,10,True,0.0139645166,0.004428280449237209,0.008418020221367046,191.98250720379747,193.30201349533306,269.7800824826649,1.3812585040370268e-09,0.0012645658965621538
11,11,True,3.99019334,0.0029483217173816014,0.002808565918383024,497.72450269680337,290.3331485546897,405.2006461196383,9.161752619084327e-20,1.704551116512613e-13
12,12,False,0.0836070562,0.006364711679075135,0.0015489332548173837,153.62287224017967,130.81843985440076,181.50492674049775,3.55959130201896e-10,3.3680984320161392e-09
13,13,False,0.0836070562,0.0010129721383380357,0.004296349112619734,965.2440102887134,821.9590850206002,1140.432676588994,2.4256759838338163e-20,0.003972571393701766
14,14,False,3.99019334,0.0047673855034920335,0.006709531227433846,295.9215006072265,174.64953303436667,242.31867261179903,2.1200733032502726e-25,3.977015709907288e-15
15,15,True,0.0836070562,0.001456431864320413,0.0029556057106918474,691.8949488296386,587.7346878557805,820.2662233080356,2.6420777261017282e-14,1.022236882348808e-05
16,16,False,3.87580839,0.002941461922327318,0.010758894463202039,478.2325300801385,283.0638893060744,392.73890247095034,4.048801227611359e-99,1.4932494883464426e-28
17,17,True,3.67071643,0.005985340822689772,0.007725868444185926,243.08212082903634,143.0153357206636,199.59796780874268,1.5379088495370787e-24,8.504398913109412e-15
18,18,False,0.0836070562,0.0029835216916433735,0.0035638141745809753,327.7218636816981,279.07343670797,387.2023220982867,4.3445678122894004e-12,2.417361017814709e-07
19,19,True,3.99019334,0.03931920478317765,0.0017976203333107108,37.32150659368824,21.770418091614104,30.383673104261543,4.36508130765487e-10,6.928383594758849e-10
20,20,True,0.000749423904,0.0066088804090691025,0.011862668870838011,96.30442089111537,129.52201797825273,180.7661496207739,1.3670698880998613e-05,0.10872799933174088
21,21,True,1.22672942,0.0071474164003965225,0.00130635922253062,182.3801615453223,119.76292959678155,167.14597246430324,8.270800500163422e-11,5.555742787529366e-10
22,22,True,0.388565349,0.011175923102515157,0.006313801649416303,104.33947573141,76.59282542548343,106.89603479668952,3.702910618514114e-12,1.5971153327241705e-09
23,23,False,1.22672942,0.0038929893024726454,0.0035342760854048,323.0812466259428,213.87720008653764,296.74536385218846,1.3274069714574881e-15,6.065773079832126e-11
24,24,False,1.04536906,0.0059807218501935185,0.005481986971783584,207.113721990068,139.2175849062018,193.15837719447578,2.364141410523705e-15,1.018593444041945e-10
25,25,False,3.67071643,0.009163087183505392,0.0035493924514397304,152.69316837107408,90.86693548856626,126.07394253701558,8.67537920249624e-13,5.802948445245731e-11
26,26,False,1.22672942,0.002957947909608411,0.001890402306825706,425.21094873196387,281.4862456756108,390.5499901747282,1.27282090931087e-13,1.429160573390366e-10
27,27,False,0.388565349,0.023642971728982123,0.010333186965469266,47.71896232797058,35.21645508542587,48.861308141684155,1.9024608345998306e-11,1.4009253751124778e-09
28,28,False,0.000749423904,0.0018402823642372965,0.07044724129330143,337.46970560731296,452.44233611116084,627.7441709406944,2973.9391870998556,2999.999886616951
29,29,True,3.99019334,0.0017109067400647858,0.0012005190107473743,857.7042372972217,500.31688292206803,698.2624107298502,1.570049765640883e-16,2.094270698603594e-12
30,30,False,3.87580839,0.002817477201394101,0.0035981761517914013,499.2774303738599,295.520280188144,410.02160601807566,3.193718179157347e-23,1.881997832865508e-14
31,31,False,1.04536906,0.0007853202429983065,0.010283283481699884,1577.3050212632513,1060.232000133846,1471.0260398029925,0.0,1.815859699962654e-34
32,32,False,0.000749423904,0.0016294953144994683,0.00211207221445337,381.12386219671635,510.9690372049022,708.9474371331796,9.832522273672995e-07,0.0017132344180375773
33,33,False,3.87580839,0.003840407075647485,0.0011670570283372154,366.29001809966036,216.80557179978484,300.8083529374692,4.186665234796024e-12,1.02119277675797e-10
34,34,False,3.99019334,0.002718825576705875,0.0005629164538035903,518.8901723794248,306.2431290603407,424.89909501093973,2.5905419574744263e-11,2.0992794344559517e-10
35,35,True,3.67071643,0.005400555868852686,0.0037395420697627427,269.40362740347496,158.50137429305428,221.21090751818943,2.9739612235827637e-16,3.1061127440550626e-12
36,36,False,0.388565349,0.001223680527978068,0.0006315409315949931,921.9874399086561,680.4240428304141,944.0589276547088,8.783294185321994e-12,1.4883760385967685e-09
37,37,False,1.04536906,0.005449815799636257,0.0029643450672980688,227.29017055284342,152.77977872853342,211.97533448965876,8.242679402724681e-13,2.633318096329727e-10
38,38,True,0.000749423904,0.01945486190083614,0.0039136447272443975,32.714927701783544,43.999054402066,61.40685402656299,3.536793353954255e-09,2.2326512336343954e-08
39,39,False,6.58634689e-07,0.003092895171216288,0.002710595332035517,81.14579622804881,269.20461441060166,373.5097580370392,9.611737674141118e-05,0.006737099403187065
40,40,False,6.58634689e-07,0.007100636810010564,0.001723682049855383,35.34548351556367,117.26013796478824,162.69336933361672,4.395271536955687e-08,2.8778083575355027e-07
41,41,False,6.58634689e-07,0.004648743313956995,0.0003679630568186067,53.98780366399786,179.10682430666787,248.50297145178308,3.64261879015798e-09,7.274982812620269e-09
42,42,True,3.99019334,0.0005719547378781301,0.0030047817814701683,2565.678476618585,1496.614103303333,2088.73497452545,2.01326525268e-312,2.9406526232078552e-50
43,43,False,1.22672942,0.0021783525966224066,0.0012578136826601335,577.3867090637666,382.22538135960843,530.3211834604425,3.376650334872236e-13,1.7340318747109588e-10
44,44,True,0.0836070562,0.004710132914677286,0.002392946127795251,213.94255077128105,181.73489849770382,253.63655049497441,9.606646682237808e-11,1.4148295661753566e-08
45,45,False,3.67071643,0.003937134082879303,0.011690549136815009,355.37037465754804,211.4791202058275,293.418131746756,2.4274240686422157e-64,5.424845621038892e-23
46,46,True,1.22672942,0.014178560418507185,0.0020997911972925067,91.93789208913566,60.37252738594286,84.2583329752012,1.348288930138226e-10,6.21674651995488e-10
47,47,False,0.000749423904,0.004118813928302435,0.016512666470313873,150.78116139843473,202.15082945561878,280.47553182647613,0.013641860572967509,102.677255346018
48,48,False,3.99019334,0.0019616740426912902,0.0017008276144586155,719.1673241651363,424.44444584554395,588.8983092471501,7.579246348909386e-18,8.041143971242372e-13
49,49,False,0.0139645166,0.002427796695502648,0.12302095710470974,340.6432532358654,342.95361449419374,475.83330563671683,1.2213874048765742e-06,2999.9948404907786
50,50,False,3.67071643,0.00196980337036284,0.003456655152357512,710.2946594370466,422.6927745718715,586.4679411235492,5.740367137347244e-31,2.1596965766704583e-16
51,51,False,0.0836070562,0.0005558879542404585,0.0019586582635579886,1758.9251244994425,1497.8227997714957,2078.1643462905663,4.674753210273641e-18,0.0006316446711381848
52,52,False,0.388565349,0.002265494936615672,0.002670270448142591,498.00070572745096,367.52306903122513,509.9223610539899,6.300327879870824e-15,2.46003669593107e-09
53,53,True,3.87580839,0.0016392462316322499,0.009427114983737071,892.5258795354137,522.188497762919,728.7873180968204,0.0,1.7819743387864635e-56
54,54,True,0.0139645166,0.001265544271213733,0.000747475563613181,671.7681890581123,676.3852886304952,943.9905754587581,1.1059888633309415e-09,2.1779464729891424e-07
55,55,False,3.99019334,0.0006197613585716171,0.00035683004321595505,2276.314669597907,1343.455251709563,1863.9860505298498,1.1801103361454138e-14,1.0526924085714429e-11
56,56,False,3.99019334,0.004481424372002314,0.002621742844156229,314.80434680105145,185.79397594690965,257.7811050995744,9.514471093753941e-15,9.727850657341373e-12
57,57,False,1.04536906,0.0092656532696218,0.002511568768509244,133.68615536716126,89.86108456157223,124.67836788393834,3.533571598105186e-11,5.182082536848487e-10
58,58,True,0.0139645166,0.00375320649824464,0.0010194333214140312,226.51361806064517,228.07045856920377,318.30432602371474,1.0474625097663019e-09,1.3626894851623214e-08
59,59,True,1.22672942,0.0027686296236079156,0.014134705626593715,470.82749769804815,309.17661209016734,431.4993434530883,8.647471608122942e-122,3.617226226373848e-19
60,60,False,1.22672942,0.0013874918908311706,0.003029002407223571,906.4931083603462,600.0911843030049,832.6005612493271,8.203847518992244e-29,7.415748267673336e-13
61,61,True,0.388565349,0.0010377373956951133,0.009731434162182032,1123.68501141842,824.8671877013686,1151.2178994487904,1.173585994714751e-229,9.655897646524863e-07
62,62,False,3.99019334,0.0025373688523805276,0.019187128047930848,555.9979467876467,328.14371911223606,455.2852163969396,0.0,2.043342443725391e-83
63,63,False,1.04536906,0.01357317238495904,0.004180214523111769,91.26013635202524,61.34318701369718,85.11101857919923,2.1769710393121754e-11,4.73284910821655e-10
64,64,False,0.0836070562,0.0006210707197838666,0.0012102310770561123,1574.3219861667324,1340.622936256673,1860.056335350897,8.346153468403841e-14,4.443006650868125e-06
65,65,True,0.0836070562,0.0008380308575642629,0.004476313112251044,1202.4591232436258,1021.4367638532094,1425.5583240978403,1.3929143170848992e-25,0.10496017369238476
66,66,False,1.04536906,0.0025626784027970714,0.006828894182447787,483.3573971782493,324.9029027875351,450.78872392807244,4.569853560467708e-34,7.801660706772908e-13
67,67,False,3.67071643,0.0006325796853666321,0.0017359495431319067,2211.801685188329,1316.232043552141,1826.2150267525167,2.610581589752397e-56,1.2867385262630345e-21
68,68,False,3.87580839,0.01321080553190469,0.004248802839846754,106.48122658771494,63.02580489652004,87.44557810990395,2.9506638919832867e-12,8.890678943860404e-11
69,69,False,0.0836070562,0.004346118604421203,0.007542466272812904,224.97436865286687,191.57821674095283,265.8064890037143,2.666138268064906e-13,2.0289132258110575e-06
70,70,False,0.000749423904,0.003727178434960157,0.00346403349241319,166.62458171260835,223.39194822814898,309.94666533781657,1.688023521709161e-07,7.631716906808442e-05
71,71,True,3.67071643,0.003321868528440556,0.0033887205628072236,437.9852268708094,257.6849504520926,359.6355047237278,2.015124065037329e-20,1.375222419623534e-13
72,72,False,0.0139645166,0.005053921842294277,0.0031033377453141163,163.63778276711048,164.7476312379449,228.58021217647013,1.1038249639018508e-09,1.8941770502915482e-07
73,73,True,0.0139645166,0.003056600930865037,0.0006309090418544298,278.13653220524264,280.04817983135223,390.8465291586134,1.0358734158382326e-09,7.441518530000571e-09
74,74,False,0.0836070562,0.003780309743362883,0.004703344434666815,258.64687168473654,220.2522302415913,305.59044244011017,3.392973124628339e-12,2.964298809893608e-07
75,75,True,0.0139645166,0.001399145109715552,0.006683507136989184,607.6227385871041,611.7989629636024,853.8512957347667,2.2364049505900298e-09,17.764447345428742
76,76,False,0.000749423904,0.0006250991470444875,0.0024569537600088575,993.505671268004,1331.9833436285842,1848.0692742853903,0.01109966340788947,88.84680532295604
77,77,False,0.388565349,0.003960051776751734,0.004518057466635464,284.89982981535707,210.25524385003308,291.72005624191786,9.898878238136696e-15,2.391161876730391e-09
