mean-logt1,std-logt1,fe-logbeta,fe-logq,sd-logbeta,sd-logq
6.02655888432518,0.984449915527567,-5.40223862523424,0.62834846687509,0.892712515987495,0.0776514148102718
5.82937537586214,0.724868857625925,-5.22327375578956,0.603182813511184,0.454739602721122,0.0724309659532985
6.09990330263436,0.974644906211046,-5.51879352741085,0.583165862577045,0.879914640682407,0.0699693794501359
6.12836797065896,0.968544949698656,-5.55910001160374,0.566965624428884,0.877394038092469,0.0675146099984056
6.14719986015857,0.971117961534754,-5.59252019837551,0.553312019895987,0.875901042142209,0.0655536657911114
6.15985502287783,0.969081013667021,-5.62094823674734,0.541540936090726,0.87501079873022,0.0639371460180054
6.17655311951133,0.965006168658082,-5.64560494778808,0.531214971245985,0.874494890659832,0.0625724321601285
6.18201749110049,0.970812116439566,-5.66732047944114,0.522031363212119,0.87422180803744,0.0613985744917581
6.20573839064122,0.968936961550791,-5.68668341377005,0.513772208620642,0.874111042211015,0.0603736147280027
6.21010565146815,0.966452242279263,-5.70412529826986,0.506275665014846,0.874111451285628,0.0594675557349613
6.21933339995584,0.96598109589961,-5.71997138092105,0.499418369262092,0.874189247917665,0.0586583052312875
6.22457993224709,0.963862804056391,-5.73447250702743,0.493104220554842,0.874321630437158,0.0579291648140391
6.23287678141395,0.966079274962008,-5.74782596025449,0.487256956518742,0.874492575996653,0.0572672593257336
6.23971498815547,0.966047881393073,-5.76018953029032,0.481815084661127,0.87469086922881,0.0566624577287273
6.25271910901292,0.968520016407462,-5.7716912767587,0.476728328340899,0.874908454858137,0.0561066668934978
6.25464569521324,0.965267048783605,-5.78243647158827,0.471955076330101,0.875139264968085,0.0555933438404537
6.2620501943225,0.961468742578458,-5.79251264055764,0.467460515045235,0.875379027932647,0.0551171088779734
