mean-logt1,std-logt1,fe-logbeta,fe-logq,sd-logbeta,sd-logq
6.23876712469726,1.04385762725966,-5.48364563338431,0.753093591366784,1.03557506680248,0.0531102131266218
6.29668618384474,1.0088542521709,-5.57302522189793,0.722554780724251,0.966520402235936,0.0463393114380039
6.33577465128514,0.982702473045984,-5.63713479167254,0.699336566854148,0.932038967411088,0.0422033369494594
6.36992882955975,0.976229332304354,-5.68690114548185,0.680659550799492,0.911322303119077,0.0393429773599388
6.39322910617204,0.968104575166061,-5.72737568504018,0.665081381276947,0.897501174419508,0.037214167785598
6.40814363427325,0.962964445714262,-5.7613461108224,0.65175106603532,0.88762873544492,0.0355503603698192
6.42692497130993,0.955501428378967,-5.7905189201502,0.640123619756013,0.88022802383574,0.0342035661854847
6.45013794887313,0.95387805044119,-5.81601470112915,0.629829063850295,0.874476720359531,0.0330842091407727
6.45638781202519,0.951807909823025,-5.83860814013454,0.620604896924616,0.869880578420418,0.0321345061419674
6.47056234749589,0.949261865180396,-5.85885645330677,0.61225828688204,0.866124704590098,0.0313153068582812
6.47940301525419,0.945866125957307,-5.87717332083349,0.604643532502612,0.862999212943651,0.0305990210266793
6.4881019165307,0.943104338679418,-5.89387392654793,0.597647942962263,0.860358402891794,0.0299655925465063
6.49891972811667,0.941560061334358,-5.90920366950899,0.59118262524823,0.858098312654697,0.0294000358123028
6.51000226657502,0.935510861662497,-5.9233571639273,0.585176266977166,0.856142646517332,0.02889090542992
6.51767742436964,0.938528234478046,-5.93649121334917,0.579570818628734,0.854434515817831,0.028429277632832
6.52453789559243,0.936891160308211,-5.9487339107146,0.574318420013725,0.852929774153703,0.0280081086335756
6.52763662881508,0.940100386325081,-5.96019117070111,0.569379164955923,0.851594701536726,0.0276217184121017
